text,label
"I did not complete the assignment",lie
"I didn’t attend the lecture",lie
"I did not submit my project",lie
"I never completed the work",lie
"I did not study for the exam",lie
"I didn’t finish my homework",lie
"I was not present in class",lie
"I didn’t follow instructions",lie

"I did not lie about my work",truth
"I didn’t cheat in the exam",truth
"I did not miss any lectures",truth
"I didn’t skip any classes",truth

"Although I was busy, I completed all my work on time",truth
"Even though I was tired, I attended all classes",truth
"Despite difficulties, I finished the assignment",truth
"I managed to complete everything even with limited time",truth

"Although I was supposed to finish it, I think I didn’t",lie
"Even though I tried, maybe I didn’t complete everything",lie
"Despite my effort, I guess I missed some parts",lie
"I think I did it, but I’m not completely sure",lie

"I always tell the truth but sometimes I lie",lie
"I never cheat but I cheated once",lie
"I definitely completed it but maybe I missed something",lie
"I always attend class but sometimes I skip",lie

"I always try my best and I believe I did well",truth
"I usually complete my work and I did it this time too",truth
"I submitted the assignment before deadline",truth
"I finished the work properly",truth
"I completed everything correctly",truth

"I think I submitted it late",lie
"Maybe I forgot to submit it",lie
"I guess I didn’t complete everything",lie